formula,target
RbPtO3,-0.383
ThAuO3,-1.250
TePbO3,0.913
AuScO3,-3.267
WGeO3,0.254
RbErO3,-0.704
TbSnO3,2.278
KSbO3,2.508
Co2O3,-2.800
TmScO3,4.911
ThDyO3,3.257
TbTeO3,0.900
GeIrO3,0.709
GaCoO3,-11.419
AcHfO3,5.504
ZnAlO3,-1.346
ScBaO3,-9.719
DyPrO3,-2.614
NdBeO3,-0.443
YZnO3,-0.209
KAgO3,-1.608
FeCuO3,-11.216
GePtO3,-0.357
SnGdO3,-2.574
GeOsO3,1.842
AlTaO3,5.560
AlPmO3,-6.858
RuFeO3,-2.602
USnO3,2.060
SmIrO3,-0.334
SmAlO3,6.413
VSmO3,-6.477
PdPaO3,2.262
CuLiO3,-7.168
BiKO3,-3.908
TbInO3,2.768
ThEuO3,-2.885
GeSnO3,2.940
AcBeO3,-0.080
SbLaO3,-5.407
Ac2O3,3.150
KCuO3,-1.655
NpGaO3,4.907
NdLuO3,4.963
VGaO3,-2.324
InCoO3,0.504
CrTeO3,1.393
CaYO3,-1.370
CaRhO3,1.092
Pb2O3,1.215
GdFeO3,3.384
LaRhO3,1.140
AcNiO3,1.575
NaZnO3,-1.851
InLiO3,-3.899
CuLuO3,-3.845
AgPaO3,4.367
MoNbO3,4.100
SbPaO3,2.381
BiWO3,3.201
CeNpO3,3.721
PaSbO3,-0.278
ZnHfO3,0.175
NbBiO3,-8.918
BeSnO3,-1.064
ErAgO3,-0.743
RbFeO3,-1.062
TlHgO3,-2.956
DyMgO3,-1.468
IrUO3,3.247
BNpO3,1.429
PaMnO3,2.564
SmNiO3,1.310
PtGeO3,0.429
GdUO3,2.093
SmRhO3,0.380
CaRbO3,-2.951
TlLaO3,-2.779
TcRhO3,-2.310
NdCrO3,4.678
LuThO3,1.859
AgUO3,3.748
MgPtO3,-1.306
FeTbO3,-5.344
KNpO3,1.454
CeNiO3,1.523
NbVO3,1.403
NbRbO3,-21.272
LiAsO3,1.238
SnNiO3,-2.268
RbPmO3,-0.750
PbPrO3,-1.388
PmErO3,4.536
BiPrO3,-3.821
TaMnO3,-5.179
NbBeO3,1.975
HgPbO3,-1.599
RhAsO3,0.405
RhMgO3,-6.273
NdMoO3,2.722
NaPmO3,-1.436
As2O3,1.088
ZrSiO3,2.891
HfVO3,1.959
NbOsO3,-1.774
AuLiO3,-6.376
CsEuO3,-0.967
GaSmO3,-4.673
BiFeO3,2.587
GaLaO3,-4.204
UPuO3,3.167
HoLuO3,2.495
PtTeO3,-0.076
BaCeO3,-0.006
TiCuO3,-1.227
CaNiO3,-0.189
BaAcO3,0.610
BeCrO3,-1.020
AgWO3,5.198
CdLaO3,-2.966
GaTaO3,5.757
BiTiO3,4.050
ZnAuO3,-1.671
TeRhO3,0.665
ReTcO3,-2.294
TeSmO3,-6.339
BaAgO3,0.032
HfYbO3,-7.385
Mg2O3,-3.239
GdInO3,2.787
NiSiO3,0.759
NpCuO3,1.586
PaLaO3,1.225
CaPdO3,-0.257
TeLiO3,-4.369
CrPmO3,-5.027
ZnGaO3,-2.607
YbTcO3,2.947
NbFeO3,-0.263
SiEuO3,-9.213
MnTbO3,-2.675
YNbO3,3.287
AcLuO3,5.945
NdGaO3,4.861
AuTcO3,3.045
MgNiO3,-1.539
AlLiO3,-6.246
InOsO3,2.855
AcTaO3,4.844
BSmO3,-4.459
LaCuO3,1.357
TiGeO3,2.162
PrWO3,2.545
TlSrO3,-5.384
ZnCeO3,-4.988
CuNaO3,-11.780
AcEuO3,-0.381
NpErO3,5.227
GaNpO3,1.275
AuKO3,-9.922
ThPuO3,-2.088
CeHfO3,5.222
CeTlO3,1.325
AcPbO3,1.255
CrGdO3,-5.024
GdNdO3,-1.457
PdRhO3,-0.412
TaDyO3,-9.365
HgRbO3,-11.188
YNaO3,-2.758
ZrCrO3,2.431
AcSbO3,2.835
SiGaO3,-2.393
PtCaO3,-10.427
CsRbO3,-2.456
CuSnO3,-1.033
TcGaO3,-1.578
ZrTbO3,-5.312
WTaO3,0.735
VTiO3,1.646
MgBiO3,0.423
HgPrO3,-3.820
TiAcO3,-7.753
SnPdO3,0.360
HgGaO3,-1.619
YbMgO3,-1.575
RhAlO3,-1.360
HoLaO3,1.942
BiVO3,3.340
DyYO3,0.899
IrAlO3,-1.626
TcPtO3,-1.353
NdSmO3,0.939
PdNbO3,2.500
TcCuO3,-4.069
CeDyO3,4.606
GaPrO3,-4.886
UYbO3,-3.140
AlSbO3,1.822
GaDyO3,-4.653
IrPmO3,-9.414
PrAuO3,0.100
PrSiO3,4.673
ErInO3,2.577
PbReO3,3.992
BSnO3,-1.197
CdTiO3,3.466
HgAuO3,-1.527
DyNiO3,1.062
RuSmO3,-6.881
ScFeO3,1.505
CoNaO3,-10.090
NpLiO3,-1.828
KYO3,-0.871
TcLiO3,-6.483
OsErO3,-8.154
RuMnO3,-1.922
HfLaO3,-2.024
BCeO3,-4.648
CdReO3,3.403
WDyO3,-9.020
BGdO3,-5.050
LuTaO3,2.596
TmNpO3,1.718
GdGeO3,2.902
GeBaO3,-7.410
CuZnO3,-4.296
ErWO3,0.934
PbCsO3,-1.351
PrMgO3,-0.545
LiCrO3,-0.060
HoCeO3,-3.213
TbSbO3,1.071
ScBiO3,0.324
SnNbO3,4.737
AsBO3,2.629
TeZnO3,-3.099
CeRhO3,1.093
VTcO3,0.559
BeLuO3,-4.570
CePtO3,0.530
CrErO3,-4.650
PdAlO3,-1.435
LuMgO3,-2.022
PdPmO3,-5.166
AcVO3,4.968
RbBaO3,-1.581
LiGaO3,-2.557
HgCoO3,-1.207
YbGaO3,-0.847
SmTeO3,1.216
SmCeO3,-1.929
NaPrO3,-1.539
CoTmO3,-3.057
CaPmO3,-1.382
ZnCuO3,-2.402
AsOsO3,0.897
HoBaO3,-7.927
LiKO3,-14.261
ErPaO3,2.508
PtNpO3,-2.614
PrBiO3,1.423
AsSiO3,3.579
LuGaO3,4.166
RuLaO3,-7.236
PrCuO3,1.338
EuLuO3,-0.626
ErGdO3,-0.434
AlMoO3,3.998
EuSiO3,6.453
MnCuO3,-1.889
DyBaO3,-7.677
GdMnO3,3.600
TaPbO3,-1.098
CdBiO3,-0.486
CsUO3,4.067
TlMoO3,4.161
SmEuO3,-1.703
NpScO3,5.600
WSbO3,-4.124
PbTlO3,-0.911
HoYbO3,-2.026
LaWO3,3.061
ScZnO3,-1.353
LaNaO3,-1.697
VYbO3,-7.759
AsBiO3,-3.743
VRuO3,-0.311
ReWO3,-0.789
ZrBeO3,3.630
TaHfO3,-3.616
GdTeO3,0.972
NbCoO3,0.373
CoErO3,-3.861
OsCuO3,-6.332
ZrSnO3,1.196
RuHgO3,-8.577
TaTiO3,-3.211
ScSiO3,4.692
RhLaO3,-6.598
CrBO3,-0.827
HgEuO3,-4.513
FeErO3,-5.831
AlNiO3,-3.057
Pm2O3,3.245
DyPaO3,2.637
AcYO3,5.419
EuZrO3,6.201
NbErO3,-5.748
Th2O3,-0.878
Rb2O3,-2.630
ReNiO3,-4.162
TeCsO3,-11.316
AcWO3,3.492
CdBaO3,-6.300
SbSnO3,3.013
LuInO3,2.407
SnUO3,3.267
CsPdO3,-1.269
WTbO3,-9.392
TiPrO3,-7.286
GdTcO3,1.449
PtSiO3,1.734
OsTcO3,-0.955
TlCuO3,-1.479
TeTmO3,-4.241
InAcO3,-3.620
SrPmO3,-0.597
RhYbO3,-8.752
W2O3,-2.362
LuBO3,5.405
TmLuO3,1.867
UCdO3,-0.036
PmPaO3,4.720
ErYbO3,-2.139
TbPtO3,-0.464
GdReO3,0.537
Eu2O3,-1.227
NaSmO3,-1.399
AgTlO3,-3.625
CaIrO3,0.979
BiInO3,0.639
YThO3,2.387
HfDyO3,-6.515
BeCoO3,-2.203
SbPtO3,-0.071
CsNdO3,-0.760
DyTlO3,0.545
ThPmO3,2.035
TeHoO3,-4.832
TeZrO3,1.661
ScRbO3,-12.193
PrLiO3,-0.679
SbFeO3,1.172
ZnSnO3,-0.123
PrSrO3,-2.307
CuYbO3,-6.856
CuThO3,-1.294
PtAgO3,-7.469
RbLuO3,-0.660
WPtO3,-7.643
ZrTaO3,2.082
AcInO3,3.988
MnCoO3,-0.239
AcReO3,2.924
TaNaO3,-11.349
OsBiO3,-3.381
AsMoO3,3.029
PdCrO3,0.047
